選手名,選手ID,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
田中　将大,11215114,2007,東北楽天,28,11,7,0,0,0,4,1,0,0.611,800,"186
.1",183,17,68,7,196,10,1,83,79,3.82
田中　将大,11215114,2008,東北楽天,25,9,7,1,0,0,5,2,1,0.563,726,"172
.2",171,9,54,2,159,6,0,71,67,3.49
田中　将大,11215114,2009,東北楽天,25,15,6,1,0,0,6,3,0,0.714,771,"189
.2",170,13,43,7,171,3,0,51,49,2.33
田中　将大,11215114,2010,東北楽天,20,11,6,0,0,0,8,1,2,0.647,643,155,159,9,32,5,119,1,0,47,43,2.5
田中　将大,11215114,2011,東北楽天,27,19,5,0,0,0,14,6,4,0.792,866,"226
.1",171,8,27,5,241,7,0,35,32,1.27
田中　将大,11215114,2012,東北楽天,22,10,4,0,0,0,8,3,4,0.714,696,173,160,4,19,2,169,4,0,45,36,1.87
田中　将大,11215114,2013,東北楽天,28,24,0,1,0,0,8,2,1,1,822,212,168,6,32,3,183,9,0,35,30,1.27
田中　将大,11215114,2021,東北楽天,23,4,9,0,0,0,1,0,0,0.308,624,"155
.2",131,17,29,5,126,6,1,54,52,3.01
田中　将大,11215114,2022,東北楽天,25,9,12,0,0,0,1,1,0,0.429,668,163,160,16,30,4,126,4,0,65,60,3.31
田中　将大,11215114,2023,東北楽天,24,7,11,0,0,0,0,0,0,0.389,600,"139
.1",156,15,38,5,81,5,0,79,76,4.91
田中　将大,11215114,2024,東北楽天,1,0,1,0,0,0,0,0,0,0,23,5,6,1,2,0,1,0,0,4,4,7.2
田中　将大,11215114,2025,読　売,10,3,4,0,0,0,0,0,0,0.429,209,45,53,4,21,1,29,1,0,30,25,5
田中　将大,11215114,2026,読　売,6,3,1,0,0,0,0,0,0,0.75,151,"35
.2",37,1,10,0,27,0,0,13,9,2.27
大勢                                            （翁田　大勢）,81085155,2022,読　売,57,1,3,37,8,9,0,0,0,0.25,221,57,38,7,13,3,60,1,0,17,13,2.05
大勢                                            （翁田　大勢）,81085155,2023,読　売,27,3,0,14,1,4,0,0,0,1,116,26,26,4,11,1,34,1,0,13,13,4.5
大勢                                            （翁田　大勢）,81085155,2024,読　売,43,1,2,29,5,6,0,0,0,0.333,161,41,28,0,8,0,54,1,0,4,4,0.88
大勢                                            （翁田　大勢）,81085155,2025,読　売,62,8,4,1,46,54,0,0,0,0.667,244,"59
.2",47,4,14,4,60,3,0,14,14,2.11
大勢                                            （翁田　大勢）,81085155,2026,読　売,15,1,0,2,10,11,0,0,0,1,49,"14
.1",5,1,2,0,14,0,0,3,3,1.88
西舘　勇陽,31635159,2024,読　売,28,1,3,1,20,21,0,0,0,0.25,126,"30
.2",22,2,14,0,25,0,0,14,13,3.82
西舘　勇陽,31635159,2025,読　売,15,2,3,0,1,1,0,0,0,0.4,228,"53
.1",58,6,11,2,45,1,0,26,25,4.22
山﨑　伊織,3305153,2022,読　売,20,5,5,0,1,1,0,0,0,0.5,410,"97
.1",95,6,20,9,55,0,0,37,34,3.14
山﨑　伊織,3305153,2023,読　売,23,10,5,0,0,0,3,1,2,0.667,586,149,119,10,25,7,106,3,0,46,45,2.72
山﨑　伊織,3305153,2024,読　売,24,10,6,0,0,0,1,1,0,0.625,621,"147
.1",140,8,42,10,103,2,0,48,46,2.81
山﨑　伊織,3305153,2025,読　売,25,11,4,0,0,0,1,0,0,0.733,625,"156
.1",124,9,36,6,131,4,0,40,36,2.07
戸郷　翔征,41045138,2019,読　売,2,1,0,0,0,1,0,0,0,1,34,"8
.2",6,1,3,1,11,0,0,2,2,2.08
戸郷　翔征,41045138,2020,読　売,19,9,6,0,0,1,0,0,0,0.6,446,"107
.2",87,12,42,6,106,1,0,33,33,2.76
戸郷　翔征,41045138,2021,読　売,26,9,8,0,0,0,1,0,0,0.529,639,"151
.2",130,19,58,6,138,3,0,75,72,4.27
戸郷　翔征,41045138,2022,読　売,25,12,8,0,0,0,3,1,1,0.6,702,"171
.2",146,11,51,8,154,3,0,52,50,2.62
戸郷　翔征,41045138,2023,読　売,24,12,5,0,0,0,4,2,1,0.706,676,170,141,14,39,3,141,2,0,49,45,2.38
戸郷　翔征,41045138,2024,読　売,26,12,8,0,0,0,4,3,1,0.6,703,180,129,12,44,7,156,3,0,39,39,1.95
戸郷　翔征,41045138,2025,読　売,21,8,9,0,0,1,0,0,0,0.471,497,111,124,8,46,2,87,2,0,58,51,4.14
戸郷　翔征,41045138,2026,読　売,2,0,1,0,0,0,0,0,0,0,46,10,12,2,3,2,11,0,0,8,8,7.2
竹丸　和幸,71275152,2026,読　売,6,4,2,0,0,0,0,0,0,0.667,148,"34
.1",35,2,13,1,32,1,0,13,11,2.88
Ｆ．ウィットリー,53355152,2026,読　売,5,1,2,0,0,0,0,0,0,0.333,113,"28
.1",15,4,13,0,31,1,0,12,9,2.86
Ｓ．ハワード,23725150,2025,東北楽天,9,5,1,0,0,0,0,0,0,0.833,196,"48
.2",42,1,11,2,36,0,1,13,12,2.22
Ｓ．ハワード,23725150,2026,読　売,2,0,1,0,0,0,0,0,0,0,43,"9
.1",9,0,7,0,14,0,0,5,4,3.86
田和　廉,21225152,2026,読　売,17,0,0,0,2,2,0,0,0,0,57,14,10,0,5,1,7,0,0,1,1,0.64
赤星　優志,51155155,2022,読　売,31,5,5,0,5,5,0,0,0,0.5,347,78,81,8,32,4,52,0,0,50,35,4.04
赤星　優志,51155155,2023,読　売,12,5,5,0,0,0,0,0,0,0.5,281,69,70,5,13,4,64,0,0,27,26,3.39
赤星　優志,51155155,2024,読　売,21,1,7,0,1,1,0,0,0,0.125,291,75,66,8,10,2,43,1,0,28,26,3.12
赤星　優志,51155155,2025,読　売,22,6,9,0,0,0,1,1,1,0.4,488,121,110,12,19,5,88,0,0,42,36,2.68
赤星　優志,51155155,2026,読　売,10,3,1,0,1,3,0,0,0,0.75,65,"15
.2",14,1,4,2,12,0,0,3,3,1.72
山城　京平,43145152,2026,読　売,1,0,0,0,0,0,0,0,0,0,13,2,3,0,3,2,1,0,0,5,5,22.5
中川　皓太,81285132,2016,読　売,2,0,0,0,0,0,0,0,0,0,11,2,4,2,1,0,2,0,0,3,3,13.5
中川　皓太,81285132,2017,読　売,18,0,0,0,0,0,0,0,0,0,107,25,28,2,4,2,19,0,1,12,12,4.32
中川　皓太,81285132,2018,読　売,30,1,0,1,3,4,0,0,0,1,165,"37
.2",47,7,8,1,31,2,0,24,21,5.02
中川　皓太,81285132,2019,読　売,67,4,3,16,17,21,0,0,0,0.571,270,"64
.2",57,3,18,2,74,0,0,19,17,2.37
中川　皓太,81285132,2020,読　売,37,2,1,6,15,17,0,0,0,0.667,139,36,24,1,10,1,26,0,0,4,4,1
中川　皓太,81285132,2021,読　売,58,4,3,1,25,29,0,0,0,0.571,220,"54
.2",47,2,10,5,49,0,0,17,15,2.47
中川　皓太,81285132,2023,読　売,44,1,4,14,17,18,0,0,0,0.2,172,"43
.1",37,3,9,1,38,0,0,10,10,2.08
中川　皓太,81285132,2024,読　売,15,0,2,0,7,7,0,0,0,0,60,"12
.1",19,3,3,0,7,0,0,12,12,8.76
中川　皓太,81285132,2025,読　売,63,2,4,0,36,38,0,0,0,0.333,225,"52
.1",55,4,12,3,57,0,0,16,13,2.24
中川　皓太,81285132,2026,読　売,14,1,0,0,4,5,0,0,0,1,47,"10
.2",9,0,3,0,9,0,0,1,1,0.84
Ｂ．マタ,53755152,2026,読　売,3,0,1,0,0,0,0,0,0,0,62,"13
.2",12,0,8,2,15,0,0,5,5,3.29
則本　昂大,51055137,2013,東北楽天,27,15,8,0,0,1,3,0,0,0.652,695,170,142,14,51,6,134,4,0,65,63,3.34
則本　昂大,51055137,2014,東北楽天,30,14,10,0,0,0,9,7,5,0.583,821,"202
.2",187,14,39,6,204,1,0,73,68,3.02
則本　昂大,51055137,2015,東北楽天,28,10,11,0,0,0,3,1,0,0.476,797,"194
.2",176,14,48,4,215,6,1,68,63,2.91
則本　昂大,51055137,2016,東北楽天,28,11,11,0,0,0,2,0,1,0.5,820,195,192,12,50,6,216,5,0,87,63,2.91
則本　昂大,51055137,2017,東北楽天,25,15,7,0,0,0,8,2,0,0.682,750,"185
.2",148,11,48,3,222,12,0,63,53,2.57
則本　昂大,51055137,2018,東北楽天,27,10,11,0,0,1,4,1,0,0.476,759,"180
.1",171,18,51,3,187,5,0,78,74,3.69
則本　昂大,51055137,2019,東北楽天,12,5,5,0,0,0,0,0,0,0.5,269,68,58,7,10,3,67,1,1,27,21,2.78
則本　昂大,51055137,2020,東北楽天,18,5,7,0,0,0,0,0,0,0.417,475,109,110,13,34,5,105,3,0,56,48,3.96
則本　昂大,51055137,2021,東北楽天,23,11,5,0,0,0,2,1,1,0.688,584,"144
.2",123,18,35,3,152,3,0,56,51,3.17
則本　昂大,51055137,2022,東北楽天,21,10,8,0,0,0,1,0,0,0.556,536,125,127,9,38,4,104,3,0,54,49,3.53
則本　昂大,51055137,2023,東北楽天,24,8,8,0,0,0,0,0,0,0.5,636,155,134,7,44,1,111,5,0,57,45,2.61
則本　昂大,51055137,2024,東北楽天,54,3,4,32,4,7,0,0,0,0.429,223,52,57,2,11,3,44,2,0,21,20,3.46
則本　昂大,51055137,2025,東北楽天,56,3,4,16,10,13,0,0,0,0.429,248,56,60,4,20,2,43,0,0,19,19,3.05
則本　昂大,51055137,2026,読　売,5,0,2,0,0,0,0,0,0,0,122,30,34,2,3,0,22,0,0,9,9,2.7
田中　瑛斗,61065136,2019,北海道日本ハム,1,0,1,0,0,0,0,0,0,0,9,2,2,0,1,0,1,1,0,2,2,9
田中　瑛斗,61065136,2022,北海道日本ハム,4,1,3,0,0,0,0,0,0,0.25,87,"18
.2",22,3,7,7,8,0,2,11,10,4.82
田中　瑛斗,61065136,2023,北海道日本ハム,2,0,0,0,0,0,0,0,0,0,41,"8
.1",8,1,7,1,4,0,0,5,5,5.4
田中　瑛斗,61065136,2024,北海道日本ハム,3,0,0,0,0,0,0,0,0,0,22,4,6,2,4,0,2,1,0,5,5,11.25
田中　瑛斗,61065136,2025,読　売,62,1,3,0,36,37,0,0,0,0.25,208,"50
.2",45,3,20,2,38,0,0,13,12,2.13
田中　瑛斗,61065136,2026,読　売,16,1,0,1,10,11,0,0,0,1,53,14,9,0,4,1,8,0,0,1,1,0.64
又木　鉄平,33135159,2024,読　売,3,0,1,0,0,0,0,0,0,0,51,"10
.1",11,2,10,0,7,0,0,7,7,6.1
又木　鉄平,33135159,2025,読　売,5,0,1,0,0,0,0,0,0,0,58,"13
.1",16,1,2,1,8,1,0,7,7,4.73
又木　鉄平,33135159,2026,読　売,4,1,1,0,0,1,0,0,0,0.5,54,"11
.1",15,0,7,1,7,0,0,4,4,3.18
森田　駿哉,43345159,2025,読　売,9,3,4,0,0,0,0,0,0,0.429,162,"37
.2",35,4,14,1,25,1,0,19,15,3.58
森田　駿哉,43345159,2026,読　売,1,0,0,0,0,0,0,0,0,0,21,"4
.1",7,2,1,0,3,0,0,4,4,8.31
Ｅ．ルシアーノ,3005157,2026,読　売,11,0,1,0,6,6,0,0,0,0,44,11,7,2,6,0,8,0,0,4,4,3.27
Ａ．バルドナード,23225157,2023,読　売,21,2,1,0,7,9,0,0,0,0.667,87,"21
.1",15,2,10,0,21,0,0,5,4,1.69
Ａ．バルドナード,23225157,2024,読　売,58,2,3,9,26,28,0,0,0,0.4,220,"51
.2",40,1,28,0,63,2,0,15,14,2.44
Ａ．バルドナード,23225157,2025,読　売,19,1,0,0,6,7,0,0,0,1,58,"13
.2",8,0,10,0,13,1,0,5,5,3.29
高梨　雄平,91095134,2017,東北楽天,46,1,0,0,14,15,0,0,0,1,183,"43
.2",31,2,17,2,48,0,0,13,5,1.03
高梨　雄平,91095134,2018,東北楽天,70,1,4,1,16,17,0,0,0,0.2,212,48,38,1,23,6,53,0,0,21,13,2.44
高梨　雄平,91095134,2019,東北楽天,48,2,1,0,14,16,0,0,0,0.667,146,"31
.1",25,0,23,4,41,0,0,8,8,2.3
高梨　雄平,91095134,2020,読　売,44,1,1,2,21,22,0,0,0,0.5,141,"37
.1",17,2,13,6,37,1,1,10,8,1.93
高梨　雄平,91095134,2021,読　売,55,2,2,1,20,22,0,0,0,0.5,171,39,34,2,21,5,47,2,0,17,16,3.69
高梨　雄平,91095134,2022,読　売,59,2,0,0,25,27,0,0,0,1,195,"46
.1",32,1,19,4,44,1,0,13,11,2.14
高梨　雄平,91095134,2023,読　売,55,2,1,0,23,25,0,0,0,0.667,185,43,32,7,19,4,49,0,1,21,20,4.19
高梨　雄平,91095134,2024,読　売,51,4,3,0,25,29,0,0,0,0.571,145,"35
.1",26,1,15,0,29,1,0,9,8,2.04
高梨　雄平,91095134,2025,読　売,21,0,1,0,5,5,0,0,0,0,74,15,14,0,14,3,16,0,1,6,6,3.6
高梨　雄平,91095134,2026,読　売,4,0,0,0,3,3,0,0,0,0,12,"2
.2",3,0,1,0,5,0,0,0,0,0
松浦　慶斗,33135155,2022,北海道日本ハム,1,0,1,0,0,0,0,0,0,0,6,1,2,0,1,0,0,0,0,2,2,18
松浦　慶斗,33135155,2024,北海道日本ハム,5,0,0,0,1,1,0,0,0,0,22,4,4,0,6,0,5,0,0,3,1,2.25
北浦　竜次,1505136,2018,北海道日本ハム,1,0,0,0,1,1,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0
北浦　竜次,1505136,2019,北海道日本ハム,6,1,1,0,0,1,0,0,0,0.5,78,"17
.1",21,1,6,0,6,1,0,11,11,5.71
北浦　竜次,1505136,2020,北海道日本ハム,3,0,1,0,0,0,0,0,0,0,22,"3
.1",9,0,3,0,0,0,0,7,6,16.2
北浦　竜次,1505136,2021,北海道日本ハム,3,0,0,0,0,0,0,0,0,0,23,"5
.1",5,1,2,0,4,0,0,2,2,3.38
北浦　竜次,1505136,2022,北海道日本ハム,11,0,0,1,0,0,0,0,0,0,38,"7
.2",10,0,5,0,6,0,0,2,2,2.35
北浦　竜次,1505136,2023,北海道日本ハム,12,0,0,0,0,0,0,0,0,0,47,"11
.2",12,1,2,0,11,0,0,4,4,3.09
北浦　竜次,1505136,2024,北海道日本ハム,12,2,1,0,4,6,0,0,0,0.667,52,"11
.1",15,2,3,0,6,0,0,8,4,3.18
北浦　竜次,1505136,2026,読　売,11,0,0,0,2,2,0,0,0,0,43,"9
.2",13,3,2,0,5,0,0,11,11,10.24
宮原　駿介,13115150,2025,読　売,14,0,0,0,2,2,0,0,0,0,59,"14
.2",12,2,4,0,14,0,0,6,6,3.68
宮原　駿介,13115150,2026,読　売,2,1,0,0,0,1,0,0,0,1,6,"1
.1",2,0,1,0,0,0,0,0,0,0
船迫　大雅,31835157,2023,読　売,36,3,1,0,8,11,0,0,0,0.75,118,30,21,3,8,3,33,2,0,9,9,2.7
船迫　大雅,31835157,2024,読　売,51,4,0,0,22,26,0,0,0,1,150,38,28,4,8,3,23,0,0,12,10,2.37
船迫　大雅,31835157,2025,読　売,57,2,3,0,17,19,0,0,0,0.4,190,48,34,8,14,2,43,0,0,15,15,2.81
船迫　大雅,31835157,2026,読　売,15,1,1,0,7,8,0,0,0,0.5,45,11,5,1,7,2,9,0,0,4,4,3.27
横川　凱,81885138,2020,読　売,2,0,0,0,0,0,0,0,0,0,20,"5
.2",4,1,1,0,2,0,0,1,1,1.59
横川　凱,81885138,2021,読　売,2,0,1,0,0,0,0,0,0,0,37,8,9,2,2,0,9,0,0,4,3,3.38
横川　凱,81885138,2022,読　売,1,0,1,0,0,0,0,0,0,0,17,3,7,0,1,0,0,0,0,5,5,15
横川　凱,81885138,2023,読　売,20,4,8,0,0,2,0,0,0,0.333,348,"84
.1",79,10,24,4,46,2,0,38,37,3.95
横川　凱,81885138,2024,読　売,12,3,1,0,0,2,0,0,0,0.75,111,"28
.2",23,0,10,0,9,0,0,4,3,0.94
横川　凱,81885138,2025,読　売,25,2,0,0,1,1,0,0,0,1,269,66,63,5,16,3,41,0,1,20,19,2.59
泉　圭輔,1105138,2019,福岡ソフトバンク,14,2,0,0,3,5,0,0,0,1,80,"18
.1",17,1,8,1,18,0,1,5,4,1.96
泉　圭輔,1105138,2020,福岡ソフトバンク,40,0,1,0,8,8,0,0,0,0,143,"34
.2",26,1,19,1,28,1,0,9,8,2.08
泉　圭輔,1105138,2021,福岡ソフトバンク,31,1,2,0,6,7,0,0,0,0.333,111,"26
.1",20,4,13,3,30,2,0,10,8,2.73
泉　圭輔,1105138,2022,福岡ソフトバンク,30,0,2,0,6,6,0,0,0,0,116,29,24,3,9,1,25,1,0,12,12,3.72
泉　圭輔,1105138,2023,福岡ソフトバンク,3,0,0,0,0,0,0,0,0,0,17,"2
.2",4,1,3,2,2,0,0,5,5,16.88
泉　圭輔,1105138,2024,読　売,35,2,0,1,5,7,0,0,0,1,149,"37
.1",28,0,11,4,30,1,0,10,8,1.93
泉　圭輔,1105138,2025,読　売,10,0,0,0,0,0,0,0,0,0,59,"12
.1",14,2,6,2,12,1,0,9,8,5.84
泉　圭輔,1105138,2026,読　売,2,0,0,0,0,0,0,0,0,0,8,2,2,0,1,0,1,0,0,0,0,0
山田　龍聖,53555155,2025,読　売,2,0,0,0,0,0,0,0,0,0,15,4,3,1,1,1,1,0,0,2,2,4.5
石川　達也,61165153,2022,横浜DeNA,3,0,0,0,0,0,0,0,0,0,28,"5
.1",4,1,7,1,3,0,0,5,5,8.44
石川　達也,61165153,2023,横浜DeNA,28,0,0,0,3,3,0,0,0,0,124,32,19,2,10,2,34,3,0,9,7,1.97
石川　達也,61165153,2024,横浜DeNA,15,0,0,0,2,2,0,0,0,0,58,14,15,1,3,1,8,0,0,3,3,1.93
石川　達也,61165153,2025,読　売,41,5,4,0,3,7,0,0,0,0.556,247,59,54,2,19,1,46,1,0,16,14,2.14
石川　達也,61165153,2026,読　売,6,0,0,0,0,0,0,0,0,0,34,"6
.1",13,2,4,0,5,0,0,12,12,17.05
平内　龍太,21825153,2021,読　売,3,0,1,0,0,0,0,0,0,0,24,5,8,2,2,0,5,0,0,8,8,14.4
平内　龍太,21825153,2022,読　売,53,4,4,0,13,17,0,0,0,0.5,213,50,53,4,13,3,39,2,0,26,24,4.32
平内　龍太,21825153,2023,読　売,11,0,1,0,1,1,0,0,0,0,60,"13
.2",14,3,7,0,8,0,0,6,6,3.95
平内　龍太,21825153,2024,読　売,31,1,2,0,2,3,0,0,0,0.333,140,"33
.1",35,4,6,1,22,2,0,11,8,2.16
平内　龍太,21825153,2025,読　売,12,1,1,0,1,2,0,0,0,0.5,63,"15
.2",18,1,1,0,9,0,0,10,10,5.74
堀田　賢慎,21625151,2022,読　売,8,2,3,0,0,0,0,0,0,0.4,150,"34
.1",38,5,16,1,24,0,0,24,24,6.29
堀田　賢慎,21625151,2023,読　売,3,0,0,0,0,0,0,0,0,0,16,"3
.1",2,1,4,0,5,0,0,3,3,8.1
堀田　賢慎,21625151,2024,読　売,17,3,3,0,0,1,0,0,0,0.5,200,"51
.1",43,2,13,2,30,0,0,14,14,2.45
堀田　賢慎,21625151,2025,読　売,8,0,1,0,0,0,0,0,0,0,99,"22
.1",23,4,11,1,13,0,0,13,13,5.24
堀田　賢慎,21625151,2026,読　売,2,0,0,0,0,0,0,0,0,0,12,"3
.2",1,0,0,0,3,0,0,0,0,0
Ｒ．マルティネス,23925134,2018,中　日,7,1,3,0,0,0,0,0,0,0.25,99,"21
.2",28,4,8,1,14,0,0,16,16,6.65
Ｒ．マルティネス,23925134,2019,中　日,43,1,4,8,14,15,0,0,0,0.2,171,"40
.2",34,2,14,2,48,1,0,13,12,2.66
Ｒ．マルティネス,23925134,2020,中　日,40,2,0,21,7,9,0,0,0,1,155,40,24,2,12,1,49,2,0,5,5,1.13
Ｒ．マルティネス,23925134,2021,中　日,49,1,4,23,0,1,0,0,0,0.2,178,48,26,1,10,1,59,1,1,11,11,2.06
Ｒ．マルティネス,23925134,2022,中　日,56,4,3,39,5,9,0,0,0,0.571,213,"55
.2",30,2,12,4,62,0,0,6,6,0.97
Ｒ．マルティネス,23925134,2023,中　日,48,3,1,32,9,12,0,0,0,0.75,173,"46
.2",31,1,4,0,62,0,0,4,2,0.39
Ｒ．マルティネス,23925134,2024,中　日,60,2,3,43,7,9,0,0,0,0.4,217,58,35,1,12,2,59,0,1,8,7,1.09
Ｒ．マルティネス,23925134,2025,読　売,58,3,2,46,3,6,0,0,0,0.6,211,"56
.2",32,3,11,0,65,1,0,7,7,1.11
Ｒ．マルティネス,23925134,2026,読　売,13,1,1,10,1,2,0,0,0,0.5,43,"12
.1",6,0,1,0,14,0,0,3,3,2.19
井上　温大,51355151,2022,読　売,7,1,1,0,0,0,0,0,0,0.5,106,24,28,4,7,0,27,0,0,18,16,6
井上　温大,51355151,2023,読　売,4,0,1,0,0,0,0,0,0,0,60,"12
.1",21,2,3,1,11,0,0,15,15,10.95
井上　温大,51355151,2024,読　売,25,8,5,0,2,3,0,0,0,0.615,413,101,87,5,27,3,99,3,0,33,31,2.76
井上　温大,51355151,2025,読　売,20,4,8,0,0,0,0,0,0,0.333,453,107,115,15,19,2,100,0,0,48,44,3.7
井上　温大,51355151,2026,読　売,5,2,3,0,0,0,0,0,0,0.4,118,"29
.2",23,2,7,0,33,1,0,10,7,2.12
増田　大輝,51855132,2020,読　売,1,0,0,0,0,0,0,0,0,0,3,"0
.2",0,0,1,0,0,0,0,0,0,0
松井　颯,1805157,2023,読　売,8,1,1,0,2,2,0,0,0,0.5,85,"19
.1",18,3,8,0,17,0,0,8,7,3.26
松井　颯,1805157,2024,読　売,2,0,0,0,0,0,0,0,0,0,9,"1
.1",2,1,3,0,1,0,0,2,2,13.5
板東　湧梧,21425138,2020,福岡ソフトバンク,15,2,2,0,2,4,0,0,0,0.5,129,"31
.2",26,4,10,0,29,0,0,9,9,2.56
板東　湧梧,21425138,2021,福岡ソフトバンク,44,0,2,1,16,16,0,0,0,0,165,"39
.1",28,4,17,2,41,1,0,13,11,2.52
板東　湧梧,21425138,2022,福岡ソフトバンク,25,3,3,0,3,3,2,1,0,0.5,255,"62
.1",45,8,24,2,48,0,0,22,22,3.18
板東　湧梧,21425138,2023,福岡ソフトバンク,30,5,4,0,1,3,0,0,0,0.556,349,83,73,5,34,3,58,1,0,32,28,3.04
代木　大和,11015155,2023,読　売,13,0,0,0,0,0,0,0,0,0,76,"16
.2",23,2,6,2,15,0,0,10,10,5.4
京本　眞,91795155,2024,読　売,4,0,0,0,0,0,0,0,0,0,20,5,4,0,2,1,3,0,0,2,2,3.6
Ｃ．スチュワート・ジュニア,53755138,2021,福岡ソフトバンク,11,0,2,0,1,1,0,0,0,0,112,"23
.2",21,0,21,1,36,4,0,18,16,6.08
Ｃ．スチュワート・ジュニア,53755138,2023,福岡ソフトバンク,14,3,6,0,0,0,0,0,0,0.333,344,"77
.1",70,7,42,1,67,3,0,31,29,3.38
Ｃ．スチュワート・ジュニア,53755138,2024,福岡ソフトバンク,20,9,4,0,0,0,0,0,0,0.692,485,120,79,6,51,5,105,2,0,29,26,1.95
Ｃ．スチュワート・ジュニア,53755138,2026,福岡ソフトバンク,4,2,2,0,0,0,0,0,0,0.5,81,"16
.2",20,2,11,2,15,2,0,14,13,7.02
上沢　直之,51355135,2014,北海道日本ハム,23,8,8,0,1,1,2,1,0,0.5,559,"135
.1",113,14,45,7,105,2,2,49,48,3.19
上沢　直之,51355135,2015,北海道日本ハム,13,5,6,0,0,0,1,0,0,0.455,335,"75
.1",75,6,30,5,43,1,1,41,35,4.18
上沢　直之,51355135,2017,北海道日本ハム,15,4,9,0,0,0,0,0,0,0.308,388,"91
.2",84,11,32,2,74,2,1,39,35,3.44
上沢　直之,51355135,2018,北海道日本ハム,25,11,6,0,0,0,4,3,1,0.647,670,"165
.1",146,15,38,5,151,3,0,62,58,3.16
上沢　直之,51355135,2019,北海道日本ハム,11,5,3,0,0,0,0,0,0,0.625,307,"71
.1",69,5,27,1,64,3,0,34,25,3.15
上沢　直之,51355135,2020,北海道日本ハム,15,8,6,0,0,0,1,0,0,0.571,411,97,85,6,38,1,90,4,0,40,33,3.06
上沢　直之,51355135,2021,北海道日本ハム,24,12,6,0,0,0,1,0,0,0.667,643,"160
.1",119,8,48,4,135,5,2,53,50,2.81
上沢　直之,51355135,2022,北海道日本ハム,23,8,9,0,0,0,3,0,0,0.471,631,152,129,15,50,9,127,2,0,61,57,3.38
上沢　直之,51355135,2023,北海道日本ハム,24,9,9,0,0,0,2,2,0,0.5,696,170,152,14,41,5,124,5,1,66,56,2.96
上沢　直之,51355135,2025,福岡ソフトバンク,23,12,6,0,0,0,1,0,0,0.667,577,"144
.2",113,12,36,5,115,0,0,52,44,2.74
上沢　直之,51355135,2026,福岡ソフトバンク,7,3,1,0,0,0,0,0,0,0.75,195,"46
.1",41,5,10,2,40,1,0,17,14,2.72
津森　宥紀,81285151,2020,福岡ソフトバンク,14,1,0,0,3,4,0,0,0,1,72,"16
.1",15,2,8,1,17,1,0,5,5,2.76
津森　宥紀,81285151,2021,福岡ソフトバンク,45,1,0,0,11,12,0,0,0,1,132,33,24,2,8,2,43,0,0,8,8,2.18
津森　宥紀,81285151,2022,福岡ソフトバンク,51,4,6,1,18,22,0,0,0,0.4,193,"46
.1",36,4,24,2,51,0,0,17,15,2.91
津森　宥紀,81285151,2023,福岡ソフトバンク,56,4,4,0,22,26,0,0,0,0.5,202,"48
.2",37,4,21,3,44,0,0,20,19,3.51
津森　宥紀,81285151,2024,福岡ソフトバンク,48,5,2,0,17,22,0,0,0,0.714,180,"42
.1",31,1,20,6,38,1,0,10,10,2.13
津森　宥紀,81285151,2025,福岡ソフトバンク,22,1,1,1,3,4,0,0,0,0.5,103,"21
.1",27,2,8,4,25,1,0,8,8,3.38
津森　宥紀,81285151,2026,福岡ソフトバンク,8,1,0,0,0,1,0,0,0,1,30,8,4,1,3,1,4,0,0,3,3,3.38
稲川　竜汰,51355152,2026,福岡ソフトバンク,1,0,0,0,0,0,0,0,0,0,4,"0
.2",0,0,2,0,0,2,0,1,1,13.5
東浜　巨,1005137,2013,福岡ソフトバンク,5,3,1,0,0,0,1,1,1,0.75,120,"28
.2",27,4,9,1,25,0,0,15,9,2.83
東浜　巨,1005137,2014,福岡ソフトバンク,7,2,2,0,0,0,0,0,0,0.5,161,"35
.1",35,3,23,1,30,2,0,17,15,3.82
東浜　巨,1005137,2015,福岡ソフトバンク,6,1,2,0,0,0,0,0,0,0.333,135,28,34,2,17,1,23,0,0,15,15,4.82
東浜　巨,1005137,2016,福岡ソフトバンク,23,9,6,0,0,0,0,0,0,0.6,545,135,113,13,37,2,100,1,0,49,45,3
東浜　巨,1005137,2017,福岡ソフトバンク,24,16,5,0,0,0,2,1,0,0.762,637,160,135,17,44,1,139,2,0,48,47,2.64
東浜　巨,1005137,2018,福岡ソフトバンク,17,7,5,0,0,0,2,0,0,0.583,425,103,91,15,32,3,83,1,0,42,38,3.32
東浜　巨,1005137,2019,福岡ソフトバンク,7,2,2,0,0,0,0,0,0,0.5,158,"35
.1",36,5,23,1,26,2,0,26,25,6.37
東浜　巨,1005137,2020,福岡ソフトバンク,19,9,2,0,0,0,0,0,0,0.818,479,119,83,10,49,2,102,2,0,32,31,2.34
東浜　巨,1005137,2021,福岡ソフトバンク,14,4,4,0,0,0,0,0,0,0.5,326,"75
.1",85,7,22,3,61,0,0,36,31,3.7
東浜　巨,1005137,2022,福岡ソフトバンク,23,10,6,0,0,0,1,1,0,0.625,542,136,114,14,37,1,94,3,0,47,47,3.11
東浜　巨,1005137,2023,福岡ソフトバンク,17,6,7,0,0,0,0,0,0,0.462,428,"99
.2",114,6,24,0,73,1,0,50,50,4.52
